base_policy,restriction,path_id,path_content_sha256,training_seed,scope,period_offset,queue_loss_berth,queue_loss_yard,queue_loss_gate,queue_loss_landbridge,queue_loss,waiting_loss,sue_exit_loss,attrition_exit_loss,exit_loss,overload_loss,route_resource_loss,action_loss,terminal_loss,period_operational_loss,period_loss_identity_residual,waiting_mass_before,waiting_mass_after,sue_exit_mass,attrition_exit_mass,delivered_landbridge,outstanding_mass_after
Reactive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,clearance,77,0.0,0.0,0.0,0.0,0.0,0.0002509822603218248,0.0,3.72961343655534e-05,3.72961343655534e-05,0.0,0.0,0.0,0.0,0.0002882783946873782,0.0,3.1966360797485346e-06,1.4206296813888487e-06,0.0,1.7760063983596857e-06,0.0,1.4206296813888487e-06
Reactive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,clearance,78,0.0,0.0,0.0,0.0,0.0,0.00011292722675730327,0.0,1.6994996562633126e-05,1.6994996562633126e-05,0.0,0.0,0.0,0.0,0.0001299222233199364,0.0,1.4206296813888487e-06,6.113441307872711e-07,0.0,8.092855506015774e-07,0.0,6.113441307872711e-07
Reactive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,terminal,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.113441307872711e-07,6.113441307872711e-07,0.0,0.0,0.0,6.113441307872711e-07
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,0,0.0,0.0,0.0,0.0,0.0,0.0,5.748082906591977e-07,0.0,5.748082906591977e-07,0.0,11.931205944018771,1.187526282418001,0.0,13.118732801245063,0.0,0.0,11.228158306546066,2.73718233647237e-08,0.0,0.0,32.10032113573799
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,1,0.0,0.0,0.0,0.0,0.0,11.228158306546066,2.395048500479086e-06,0.0,2.395048500479086e-06,0.0,34.121323858330584,0.4859171838052445,0.0,45.835401743730394,0.0,11.228158306546066,42.17950255103573,1.1404992859424221e-07,0.0,0.0,123.67240554146153
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,2,0.0,0.0,0.0,0.0,0.0,53.399987376283065,4.320132389674308e-06,0.02170462825237852,0.021708948384768195,0.0,39.269277751842004,0.48757569481549995,0.0,93.17854977132534,0.0,42.17950255103573,72.0215660423491,2.0572058998449084e-07,0.0010335537263037391,0.0,226.99256887918062
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,3,0.0,13.807144207149314,0.0,0.0,13.807144207149314,125.33635086808738,5.256561183134191e-06,0.14623225250368593,0.14623750906486904,0.0,36.381255919702056,0.5610018660223984,0.0,176.231990370026,2.842170943040401e-14,72.0215660423491,99.68267024252518,2.5031243729210436e-07,0.0069634405954136155,0.0,320.821567929707
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,4,10.365611451173013,32.330266307697634,13.807144207149314,0.0,56.50302196601996,224.73550928977417,2.206381144261531e-05,0.2677753846688471,0.2677974484802897,0.03456630769763125,35.821413972593504,55.684339859148466,0.0,373.04664884371397,0.0,99.68267024252518,115.44431690126018,1.0506576877435862e-06,0.012751208793754623,0.0,399.09810552232716
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,5,30.912399084366697,40.6955593794375,32.330266307697634,13.807144207149314,117.74536897865114,281.75065867379703,6.529882640800596e-05,0.37362470346280596,0.373690002289214,7.21581606077476,44.234361586835035,55.34851143544869,0.0,506.66840673779586,0.0,115.44431690126018,129.6267685767609,3.10946792419076e-06,0.017791652545847903,13.807144207149314,462.3646629794448
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,6,50.47157885555969,46.19765952779465,40.682231670256655,32.330266307697634,169.68173636130862,326.49908882993026,0.00011496736958320918,0.4561618826482584,0.45627685001784163,21.70942967855471,46.56500510824665,54.83451914551251,0.0,619.7460559735706,0.0,129.6267685767609,135.65864805235478,5.474636646819485e-06,0.021721994411821828,32.330266307697634,495.87843702424686
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,7,63.30397356909011,51.66593332040343,46.309123266539196,40.57076793151211,201.84979808754485,357.61975056935455,0.00015933455725824014,0.5077505588782881,0.5079098934355464,34.35934839258815,43.745852947599005,54.945098498650836,0.0,693.027758389173,0.0,135.65864805235478,132.31904102043197,7.587359869440006e-06,0.024178598041823242,40.57076793151211,505.95088646462847
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,8,75.59308802147449,47.05544148178107,51.66012703267334,46.309123266539196,220.61777980246808,370.53931867748855,0.00018688614389391934,0.6037037567170787,0.6038906428609725,46.638780548782826,49.25148064088045,54.9878836251255,0.0,742.6391339376064,0.0,132.31904102043197,134.8980106258576,8.89934018542473e-06,0.028747797938908505,46.309123266539196,522.1351256103214
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,9,79.11111690503566,50.51894725955427,47.05745130480622,51.658117209648175,228.34563267904434,385.3260732638046,0.000242607694613253,0.6228752722724613,0.6231178799670745,50.13156672735358,73.75337687337836,54.57206679208642,0.0,792.7518342156343,1.1368683772161603e-13,134.8980106258576,157.5800194068433,1.1552747362535857e-05,0.029660727251069587,51.658117209648175,584.1732250534841
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,10,81.20752142748672,52.146381235202526,50.50957946195335,47.05745130480622,230.9209334294488,402.1128863733117,0.0003093768420994396,0.46760813066299345,0.46791750750509276,52.22553417945998,67.9380251987079,54.51182434460821,0.0,808.1771210330417,-1.1368683772161603e-13,157.5800194068433,158.35919469306106,1.473223057616379e-05,0.022267053841094925,47.05745130480622,618.9995628016943
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,11,82.17656802452768,56.87301538339976,52.152662295907675,50.5032984012482,241.70554410508333,390.2832385048327,0.00030369557499533437,0.4234424413918565,0.42374613696685187,52.978276519373395,73.03260191834457,54.17298211478627,0.0,812.596389299387,0.0,158.35919469306106,173.58953591765038,1.4461694047396875e-05,0.020163925780564595,50.5032984012482,674.7983943229774
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,12,104.30423603744313,52.83187692552904,56.86973257704471,52.152662295907675,266.1585078359246,418.1392920775424,0.00038169792850693374,0.5509129513961006,0.5512946493246076,75.10221139986527,68.7743535086426,59.10907979149707,0.0,887.8347392627965,0.0,173.58953591765038,177.3119934469682,1.817609183366351e-05,0.026233950066480983,52.152662295907675,701.8475664081345
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,13,116.19776589522532,62.09164938097419,52.83187692552904,56.86973257704471,287.99102477877324,463.1557064042035,0.0005526356183627124,0.6492340791041521,0.6497867147225148,90.77999837658382,86.04623408944296,58.935014353793406,0.0,987.5577647175194,2.2737367544323206e-13,177.3119934469682,182.89926265604961,2.6315981826795827e-05,0.030915908528769145,56.86973257704471,739.3435549119514
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,14,140.1392976923541,66.90855052449356,61.16741895189618,52.83187692552904,321.0471440942729,484.8238173225803,0.0007987341928502088,0.722958309700635,0.7237570438934853,114.5466829425648,100.74628095822034,58.357975794483586,0.0,1080.2456581560152,0.0,182.89926265604961,197.1788264734228,3.803496156429566e-05,0.034426586176220714,52.83187692552904,800.5366565841113
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,15,146.84971091502442,69.73054371500231,66.9199087502336,61.156060726156156,344.6562241064165,511.6502150126217,0.0009838705593638282,0.7617915652333398,0.7627754357927038,121.00750781936101,91.4969189803968,57.47841582482607,0.0,1127.0520571794148,0.0,197.1788264734228,192.73564313482177,4.6850979017325156e-05,0.03627578882063523,61.156060726156156,819.8093792754589
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,16,161.42915333870485,66.5601539902841,69.73054371500231,66.9199087502336,364.63975979422486,521.9216663365273,0.0011088724747861584,0.8074306407931825,0.8085395132679685,135.38927043684546,97.50908780820568,57.47730720362851,0.0,1177.7456310926998,0.0,192.73564313482177,197.36075062429137,5.2803451180293256e-05,0.03844907813300869,66.9199087502336,848.3997684707236
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,17,174.95709252876995,70.11113128122437,66.5757643337145,69.71493337157192,381.35892151528077,539.6365186386888,0.0011658146949448706,0.922303969254627,0.9234697839495718,148.82351089985383,92.55419258169279,57.57701609668761,0.0,1220.8736295161536,-2.2737367544323206e-13,197.36075062429137,191.9082658924226,5.5514985473565264e-05,0.04391923663117271,69.71493337157192,851.9475425719702
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,18,185.25519945805402,73.47384486517252,69.91233371181694,66.5757643337145,395.21714236875795,555.2524559166568,0.0012550571778122924,1.0728376641533115,1.074092721331124,158.99464735527084,84.5816424243072,57.8730889655258,0.0,1252.9930697518496,0.0,191.9082658924226,179.26404344210624,5.9764627514871065e-05,0.051087507816824355,66.5757643337145,841.4787731791562
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,19,191.69478555105576,84.76032510730445,73.4974650295118,69.88871354747765,419.8412892353497,557.4846841066403,0.001432135452426348,1.1925294402705562,1.1939615757229824,165.2528638894458,86.28591329682588,57.46846856239745,0.0,1287.527180666382,0.0,179.26404344210624,175.32247479380226,6.819692630601657e-05,0.056787116203359814,69.88871354747765,841.5266611207344
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,301721597.0,decision,20,194.2307182880964,76.78437680202136,84.6263694910298,73.4974650295118,429.1389296106594,553.7442272009806,0.00171060006114943,1.1777632486678469,1.1794738487289962,167.84324361319577,96.92329791647279,57.1141587988297,0.0,1305.9433309888673,0.0,175.32247479380226,180.16417795039865,8.145714576902047e-05,0.056083964222278425,73.4974650295118,861.4694320700416
