forecast_model,horizon_months,origin_month,target_month,log_predictive_density,origin_high_risk_probability,forecast_high_risk_probability,target_in_heldout,hmm_parameters_refit
persistence,2,2025-03-01,2025-05-01,-2.5852635868931917,2.361303498588908e-06,2.361303498588908e-06,True,False
hmm_transition,2,2025-04-01,2025-06-01,-17.50952847476166,1.781439437872713e-09,0.11029010680254332,True,False
unconditional,2,2025-04-01,2025-06-01,-17.455169735482528,1.781439437872713e-09,0.11645127765513666,True,False
persistence,2,2025-04-01,2025-06-01,-35.45073155095635,1.781439437872713e-09,1.781439437872713e-09,True,False
hmm_transition,2,2025-05-01,2025-07-01,-17.845147178763533,9.158307011616286e-07,0.11029015516280066,True,False
unconditional,2,2025-05-01,2025-07-01,-17.790788877966584,9.158307011616286e-07,0.11645127765513666,True,False
persistence,2,2025-05-01,2025-07-01,-29.543940880374087,9.158307011616286e-07,9.158307011616286e-07,True,False
hmm_transition,2,2025-06-01,2025-08-01,5.813761280277091,1.0,0.16319782116970924,True,False
unconditional,2,2025-06-01,2025-08-01,5.868120020292833,1.0,0.11645127765513666,True,False
persistence,2,2025-06-01,2025-08-01,-14.10762790466613,1.0,1.0,True,False
hmm_transition,2,2025-07-01,2025-09-01,6.783924637913571,1.0,0.16319782116970924,True,False
unconditional,2,2025-07-01,2025-09-01,6.838283378006013,1.0,0.11645127765513666,True,False
persistence,2,2025-07-01,2025-09-01,-14.1877471825005,1.0,1.0,True,False
hmm_transition,2,2025-08-01,2025-10-01,1.4051076592357234,8.767589943775014e-10,0.11029010675467874,True,False
unconditional,2,2025-08-01,2025-10-01,1.398158650809823,8.767589943775014e-10,0.11645127765513666,True,False
persistence,2,2025-08-01,2025-10-01,1.5219674696543397,8.767589943775014e-10,8.767589943775014e-10,True,False
hmm_transition,2,2025-09-01,2025-11-01,0.1191563518943248,6.429334072335801e-11,0.11029010671169304,True,False
unconditional,2,2025-09-01,2025-11-01,0.1122073449587138,6.429334072335801e-11,0.11645127765513666,True,False
persistence,2,2025-09-01,2025-11-01,0.23601613874213545,6.429334072335801e-11,6.429334072335801e-11,True,False
hmm_transition,2,2025-10-01,2025-12-01,4.00754063576838,1.648244534532188e-08,0.11029010758033993,True,False
unconditional,2,2025-10-01,2025-12-01,4.0005916270551785,1.648244534532188e-08,0.11645127765513666,True,False
persistence,2,2025-10-01,2025-12-01,4.124400450731033,1.648244534532188e-08,1.648244534532188e-08,True,False
hmm_transition,2,2025-11-01,2026-01-01,-8.683724385973903,3.5818461899744815e-08,0.11029010860336438,True,False
unconditional,2,2025-11-01,2026-01-01,-8.690657596930903,3.5818461899744815e-08,0.11645127765513666,True,False
persistence,2,2025-11-01,2026-01-01,-8.567114465633269,3.5818461899744815e-08,3.5818461899744815e-08,True,False
hmm_transition,2,2025-12-01,2026-02-01,0.8252097556180549,1.209301497517335e-09,0.1102901067722728,True,False
unconditional,2,2025-12-01,2026-02-01,0.81826074712502,1.209301497517335e-09,0.11645127765513666,True,False
persistence,2,2025-12-01,2026-02-01,0.9420695670984907,1.209301497517335e-09,1.209301497517335e-09,True,False
hmm_transition,2,2026-01-01,2026-03-01,-24.494408565820663,0.00019853290507761424,0.11030061063054447,True,False
unconditional,2,2026-01-01,2026-03-01,-24.440145060177212,0.00019853290507761424,0.11645127765513666,True,False
persistence,2,2026-01-01,2026-03-01,-30.81441845209317,0.00019853290507761424,0.00019853290507761424,True,False
hmm_transition,2,2026-02-01,2026-04-01,-18.910791878187784,1.539883987174859e-08,0.11029010752300884,True,False
unconditional,2,2026-02-01,2026-04-01,-18.856433145441112,1.539883987174859e-08,0.11645127765513666,True,False
persistence,2,2026-02-01,2026-04-01,-34.6951244978011,1.539883987174859e-08,1.539883987174859e-08,True,False
hmm_transition,2,2026-03-01,2026-05-01,-17.486765735612114,1.0,0.16319782116970924,True,False
unconditional,2,2026-03-01,2026-05-01,-17.824125561630712,1.0,0.11645127765513666,True,False
persistence,2,2026-03-01,2026-05-01,-15.674245218484598,1.0,1.0,True,False
hmm_transition,2,2026-04-01,2026-06-01,-6.895216722170612,1.0,0.16319782116970924,True,False
unconditional,2,2026-04-01,2026-06-01,-6.840871469434867,1.0,0.11645127765513666,True,False
persistence,2,2026-04-01,2026-06-01,-15.169772138518438,1.0,1.0,True,False
hmm_transition,3,2024-10-01,2025-01-01,4.515532293223781,4.124520102474715e-11,0.1150341050152928,True,False
unconditional,3,2024-10-01,2025-01-01,4.513929622915971,4.124520102474715e-11,0.11645127765513666,True,False
persistence,3,2024-10-01,2025-01-01,4.637738463818662,4.124520102474715e-11,4.124520102474715e-11,True,False
hmm_transition,3,2024-11-01,2025-02-01,4.9328184714723475,5.36856832122588e-11,0.11503410501544423,True,False
unconditional,3,2024-11-01,2025-02-01,4.931215801162761,5.36856832122588e-11,0.11645127765513666,True,False
persistence,3,2024-11-01,2025-02-01,5.055024642194662,5.36856832122588e-11,5.36856832122588e-11,True,False
hmm_transition,3,2024-12-01,2025-03-01,-3.685560782609434,1.0534180590983966e-09,0.1150341050276106,True,False
unconditional,3,2024-12-01,2025-03-01,-3.687163409464485,1.0534180590983966e-09,0.11645127765513666,True,False
persistence,3,2024-12-01,2025-03-01,-3.563357728408792,1.0534180590983966e-09,1.0534180590983966e-09,True,False
hmm_transition,3,2025-01-01,2025-04-01,3.560329884134968,6.221738102957196e-10,0.11503410502236253,True,False
unconditional,3,2025-01-01,2025-04-01,3.558727213856479,6.221738102957196e-10,0.11645127765513666,True,False
persistence,3,2025-01-01,2025-04-01,3.6825360526270416,6.221738102957196e-10,6.221738102957196e-10,True,False
hmm_transition,3,2025-02-01,2025-05-01,-2.7074661884495383,5.163146006397362e-10,0.11503410502107424,True,False
unconditional,3,2025-02-01,2025-05-01,-2.709068841910077,5.163146006397362e-10,0.11645127765513666,True,False
persistence,3,2025-02-01,2025-05-01,-2.58526122612517,5.163146006397362e-10,5.163146006397362e-10,True,False
hmm_transition,3,2025-03-01,2025-06-01,-17.467413803909565,2.361303498588908e-06,0.11503413375105535,True,False
unconditional,3,2025-03-01,2025-06-01,-17.455169735482528,2.361303498588908e-06,0.11645127765513666,True,False
persistence,3,2025-03-01,2025-06-01,-28.261184185970542,2.361303498588908e-06,2.361303498588908e-06,True,False
hmm_transition,3,2025-04-01,2025-07-01,-17.803033196011604,1.781439437872713e-09,0.11503410503647038,True,False
unconditional,3,2025-04-01,2025-07-01,-17.790788877966584,1.781439437872713e-09,0.11645127765513666,True,False
persistence,3,2025-04-01,2025-07-01,-35.786350693440404,1.781439437872713e-09,1.781439437872713e-09,True,False
hmm_transition,3,2025-05-01,2025-08-01,5.869722678015175,9.158307011616286e-07,0.11503411616014059,True,False
unconditional,3,2025-05-01,2025-08-01,5.868120020292833,9.158307011616286e-07,0.11645127765513666,True,False
persistence,3,2025-05-01,2025-08-01,5.991927945992267,9.158307011616286e-07,9.158307011616286e-07,True,False
hmm_transition,3,2025-06-01,2025-09-01,6.826039059781633,1.0,0.1272037666010096,True,False
