residual_date,origin_date,forecast_horizon,observed_value,predicted_value,residual,selected_model,training_cutoff
2024-04-22,2024-04-15,1,3377367.0,3432562.5510383076,-55195.5510383076,harmonic_ridge,2024-04-15
2024-04-29,2024-04-22,1,3198367.0,3493066.1716121244,-294699.1716121244,harmonic_ridge,2024-04-22
2024-05-06,2024-04-29,1,3458980.0,3547396.3685802827,-88416.36858028267,harmonic_ridge,2024-04-29
2024-05-13,2024-05-06,1,3914742.0,3605509.5370813375,309232.46291866247,harmonic_ridge,2024-05-06
2024-05-20,2024-05-13,1,3826580.0,3668468.094239884,158111.90576011594,harmonic_ridge,2024-05-13
2024-05-27,2024-05-20,1,3355382.0,3712318.357534416,-356936.357534416,harmonic_ridge,2024-05-20
2024-06-03,2024-05-27,1,3617100.0,3721592.3821062944,-104492.38210629439,harmonic_ridge,2024-05-27
2024-06-10,2024-06-03,1,3617309.0,3722609.620485988,-105300.62048598798,harmonic_ridge,2024-06-03
2024-06-17,2024-06-10,1,4098031.0,3708355.351847159,389675.6481528408,harmonic_ridge,2024-06-10
2024-06-24,2024-06-17,1,3406706.0,3699339.4482660517,-292633.4482660517,harmonic_ridge,2024-06-17
2024-07-01,2024-06-24,1,3524042.0,3659988.9244110347,-135946.92441103468,harmonic_ridge,2024-06-24
2024-07-08,2024-07-01,1,4682369.0,3625021.602514716,1057347.3974852841,harmonic_ridge,2024-07-01
2024-07-15,2024-07-08,1,2942377.0,3634822.4474399737,-692445.4474399737,harmonic_ridge,2024-07-08
2024-07-22,2024-07-15,1,3905309.0,3594180.974088574,311128.0259114262,harmonic_ridge,2024-07-15
2024-07-29,2024-07-22,1,3577524.0,3599246.9560033134,-21722.95600331342,harmonic_ridge,2024-07-22
2024-08-05,2024-07-29,1,3158600.0,3606021.247340735,-447421.24734073505,harmonic_ridge,2024-07-29
2024-08-12,2024-08-05,1,2841342.0,3610190.6241595782,-768848.6241595782,harmonic_ridge,2024-08-05
2024-08-19,2024-08-12,1,3590390.0,3612204.620455472,-21814.6204554718,harmonic_ridge,2024-08-12
2024-08-26,2024-08-19,1,3088572.0,3642673.180935815,-554101.180935815,harmonic_ridge,2024-08-19
2024-09-02,2024-08-26,1,3653159.0,3652330.743862006,828.256137994118,harmonic_ridge,2024-08-26
2024-09-09,2024-09-02,1,3460887.0,3670217.1757878484,-209330.17578784842,harmonic_ridge,2024-09-02
2024-09-16,2024-09-09,1,2998343.0,3663985.044756444,-665642.0447564442,harmonic_ridge,2024-09-09
2024-09-23,2024-09-16,1,3244029.0,3620227.90120567,-376198.9012056701,harmonic_ridge,2024-09-16
2024-09-30,2024-09-23,1,3107282.0,3560865.1963167284,-453583.19631672837,harmonic_ridge,2024-09-23
2024-10-07,2024-09-30,1,3211885.0,3473598.0205638884,-261713.02056388836,harmonic_ridge,2024-09-30
2024-10-14,2024-10-07,1,3889899.0,3369915.6164329154,519983.38356708456,harmonic_ridge,2024-10-07
2024-10-21,2024-10-14,1,3094462.0,3273868.0099707944,-179406.00997079443,harmonic_ridge,2024-10-14
2024-10-28,2024-10-21,1,2490101.0,3144238.059128351,-654137.059128351,harmonic_ridge,2024-10-21
2024-11-04,2024-10-28,1,3982932.0,2997675.9638971495,985256.0361028505,harmonic_ridge,2024-10-28
2024-11-11,2024-11-04,1,2740787.0,2911640.3815056826,-170853.3815056826,harmonic_ridge,2024-11-04
2024-11-18,2024-11-11,1,2249343.0,2805167.221575548,-555824.2215755479,harmonic_ridge,2024-11-11
2024-11-25,2024-11-18,1,2394813.0,2710964.1002278207,-316151.1002278207,harmonic_ridge,2024-11-18
2024-12-02,2024-11-25,1,1630117.0,2655169.1009183526,-1025052.1009183526,harmonic_ridge,2024-11-25
2024-12-09,2024-12-02,1,2085987.0,2611007.6511465986,-525020.6511465986,harmonic_ridge,2024-12-02
2024-12-16,2024-12-09,1,2517958.0,2617646.800831319,-99688.80083131883,harmonic_ridge,2024-12-09
2024-12-23,2024-12-16,1,2217407.0,2669611.190771828,-452204.19077182794,harmonic_ridge,2024-12-16
2024-12-30,2024-12-23,1,3308555.0,2736055.0685218396,572499.9314781604,harmonic_ridge,2024-12-23
2025-01-06,2024-12-30,1,3170016.0,2851944.8191601876,318071.1808398124,harmonic_ridge,2024-12-30
2025-01-13,2025-01-06,1,3449192.0,2966853.3316091495,482338.66839085054,harmonic_ridge,2025-01-06
2025-01-20,2025-01-13,1,2917636.0,3083897.833915716,-166261.83391571604,harmonic_ridge,2025-01-13
2025-01-27,2025-01-20,1,3521757.0,3169187.9361360115,352569.0638639885,harmonic_ridge,2025-01-20
2025-02-03,2025-01-27,1,2814833.0,3252827.521413209,-437994.5214132089,harmonic_ridge,2025-01-27
2025-02-10,2025-02-03,1,3089803.0,3290710.711447382,-200907.71144738188,harmonic_ridge,2025-02-03
2025-02-17,2025-02-10,1,3218671.0,3314721.0555079835,-96050.05550798355,harmonic_ridge,2025-02-10
2025-02-24,2025-02-17,1,1762527.0,3323507.514743417,-1560980.514743417,harmonic_ridge,2025-02-17
2025-03-03,2025-02-24,1,2639612.0,3274073.2111214316,-634461.2111214316,harmonic_ridge,2025-02-24
2025-03-10,2025-03-03,1,3780882.0,3248011.163956975,532870.8360430249,harmonic_ridge,2025-03-03
2025-03-17,2025-03-10,1,3261611.0,3259549.1479898267,2061.8520101732574,harmonic_ridge,2025-03-10
2025-03-24,2025-03-17,1,3885452.0,3262600.928678205,622851.0713217952,harmonic_ridge,2025-03-17
2025-03-31,2025-03-24,1,3720251.0,3296452.806393488,423798.19360651216,harmonic_ridge,2025-03-24
2025-04-07,2025-03-31,1,3992447.0,3338498.3813398685,653948.6186601315,harmonic_ridge,2025-03-31
2025-04-14,2025-04-07,1,3401933.0,3401385.6335966196,547.3664033804089,harmonic_ridge,2025-04-07
2025-04-21,2025-04-14,1,3601633.0,3456479.0348016126,145153.9651983874,harmonic_ridge,2025-04-14
