path_id,selected_policy_loss,bc_policy_loss,sac_policy_loss,selector_ex_post_regret,interpretation_boundary
test_031_0a6ff70351b5,114370.17601044934,113763.91349865716,273927.49805159704,606.2625117921853,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_032_efdf826e6bc3,115898.02649602677,115630.87539196161,294492.33520493686,267.15110406515305,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_033_de0c441dba67,119476.73045902354,119218.08483819838,290774.59664171224,258.64562082516204,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_034_a00d80b83640,119309.09481102526,118759.89836542314,288339.18119060586,549.1964456021233,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_035_51fd398978b7,111993.9083863985,111483.91210578948,273294.1746628673,509.99628060901887,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_036_7eb6ac1ca077,114474.71262246933,114264.84499366315,282201.3529495006,209.86762880618335,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_037_f096257ecaa4,119222.52404293999,118661.20643512002,323205.6221101401,561.3176078199613,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_038_b05abc6e01b3,115452.64204933653,115006.01899643346,296312.47090903245,446.6230529030727,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_039_9c0d1ebe6c19,118991.88422787523,118454.09184348461,283715.14286559535,537.7923843906174,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_040_11a8950c659e,112266.510138012,111846.26832881621,275845.54815654206,420.2418091957952,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_041_e58f21dcc209,119525.59901083559,118919.9198583073,288528.4386254843,605.6791525282897,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_042_a77d2ece213a,113844.49655701297,113359.2212772236,262133.07794284247,485.27527978937724,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_043_f1174106175c,111681.34646021569,111061.49634589063,308168.49914662447,619.8501143250614,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_044_ed401c94714a,116595.15135532287,116106.20548465547,278070.19852557,488.94587066740496,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_045_af7d3f616c1d,119573.40042585354,119011.33281468558,290883.0414041865,562.0676111679641,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_046_e35b743e6617,121305.46590216696,120723.83055758155,288616.3708658794,581.6353445854184,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_047_20c1f89391c1,126990.26617557152,126454.67392280645,289463.3692383337,535.5922527650691,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_048_eeaf6a6a0a15,118950.17422660218,118518.52901158114,287316.21886338014,431.6452150210389,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_049_343da3774e7e,104496.1335507006,104239.31250345318,271158.00866908673,256.8210472474166,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_050_1c7612d8bc63,109109.18023604696,108935.08072853344,264944.29548085487,174.09950751351425,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_051_5747c87e6d9a,107321.77444291348,106449.42605529858,260767.50031542746,872.3483876148966,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_052_9760565f31de,112609.22479760692,112112.42488111542,291377.5321763654,496.7999164914945,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_053_4473e6f72168,111955.29908107204,111448.61017267448,286407.76117349823,506.68890839755477,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_054_c66f0b1dacc4,121039.41745721968,120502.1562368294,279962.5570729166,537.2612203902827,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_055_f90330578051,124354.61464904014,123803.63429523446,299757.02514990204,550.9803538056876,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_056_b2c64046cef9,110083.0532398211,109824.84416474514,276958.8717719509,258.2090750759671,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_057_bf11b8e004e2,113590.5566221265,112941.89054554421,280316.51075956033,648.666076582289,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
