policy,seed_index,training_seed,episode,period_offset,state_sha256,latent_sample_sha256,reward_critic_target,reward_critic_q1_before_update,reward_critic_q2_before_update,reward_critic_q1_squared_loss,reward_critic_q2_squared_loss,constraint_critic_target,constraint_critic_before_update,constraint_critic_squared_loss,preprojection_log_probability_recorded,preprojection_log_probability_recalculated,latent_entropy,entropy_temperature_before,entropy_actor_contribution,constraint_dual_before,q1_actor_value,q2_actor_value,constraint_actor_value,actor_loss_recorded,actor_loss_recalculated,actor_loss_relative_error,temperature_gradient_recorded,temperature_gradient_recalculated,temperature_gradient_relative_error,entropy_temperature_after,constraint_dual_after,projection_distance,projection_feasibility_residual,weight_gradient_norm,log_standard_deviation_gradient_norm
Vanilla SAC,0,3760190062,1,20,75fe9f352e82da7bb59e547f5e1131f8aef9f3de1b29e501f9d75331b8a732d7,a85f7389cd32051ed0dcc75260438048a12fb56a16685dfd5c13bf8056c0a6a3,-85873.2854016477,-36499.64618021382,-36499.647281357604,2437756249.9683146,2437756141.233364,36.29433692626058,0.0,0.0,3.746331739433705,3.746331739433705,-3.746331739433705,0.03086667739308021,0.1156368132085572,0.0,-36474.8343908286,-36474.835696465525,0.0,36474.95133327873,36474.95133327873,0.0,0.9338302181561698,0.9338302181561698,0.0,0.03029554270136838,0.0,0.03788183826144545,0.0,0.8900928941548361,0.17966751316543092
Constrained SAC,0,301721597,1,0,e9e7f4753113b72de8687b2525a4c6962f33b9932142184ca5ba11cdc4aa1831,1123306ceac8dc66709e91460964ad50e0555f0e77fdc3b1ef7cb34e72c8fbd2,-67833.72548674767,-0.00039801286714579034,0.00014905481470397721,4601414259.41405,4601414333.6333275,0.0,0.0,0.0,9.71207479774334,9.71207479774334,-9.71207479774334,0.05000000000000001,0.48560373988716704,0.0,-1352.2436038869705,-1352.2431247230247,0.0,1352.7292076268577,1352.7292076268577,0.0,1.214396260112833,1.214396260112833,0.0,0.04880023264805381,0.0,0.38161330402860627,0.0,29.731740347556304,1.6747542660739982
Constrained SAC,0,301721597,1,1,e3fbe08a86372da9faf7de1cf57c5e4734eaa5a0762d59c1e2aae48fc89369a9,cce00c937ccb5e84b53fbbd1dffe273436958d905be9e37b5a5354d0e23f7642,-69156.14222799077,-1333.717886520391,-1333.7173743999756,4599881243.554474,4599881313.02097,0.0,0.0,0.0,6.1782666918499425,6.1782666918499425,-6.1782666918499425,0.04880023264805381,0.301500851923999,0.0,-2656.235297484018,-2656.2348152076747,0.0,2656.536798335942,2656.536798335942,0.0,1.3577070581098307,1.3577070581098307,0.0,0.047492933856732214,0.0,0.3822961412708965,0.0,40.52982735858751,2.5508003537239503
Constrained SAC,0,301721597,1,2,6746a1133193da1949b3afd0c05f1f328651afb57255e2a444c84cf6128ed20b,1ca2d89c71c017553a1e341d89be49c1b22f2bac618c946a9173a25ea14286b6,-70471.78905321076,-2054.078440952472,-2054.0782755270075,4680983125.422719,4680983148.058784,0.0,0.0,0.0,2.8585829048926277,2.8585829048926277,-2.8585829048926277,0.047492933856732214,0.135762488826051,0.0,-3360.2329892517664,-3360.23286646605,0.0,3360.3687517405924,3360.3687517405924,0.0,1.4789972623028442,1.4789972623028442,0.0,0.0461086696349831,0.0,0.39987428674251163,0.0,45.21505125617823,2.8171013861818843
Constrained SAC,0,301721597,1,3,e299df513d8e6cd5632bf28fc7963109c3e14aec69973f79805f12bdbd6ff6eb,89b39b376f38c0c92b6d56e2fc0ab3da434ceb86cd29dae673339c0bb8399357,-71773.79188632176,-3365.5276988445958,-3365.5276673129265,4679690609.143671,4679690613.457725,0.13837208068828688,0.0,0.019146832714005774,4.087459966003577,4.087459966003577,-4.087459966003577,0.0461086696349831,0.18846734121867817,0.0,-4591.595712945712,-4591.595780350738,0.0026656868855242572,4591.784247691957,4591.784247691957,0.0,1.3792274263707471,1.3792274263707471,0.0,0.04485416482018881,0.013737208068828688,0.3853003529108059,0.0,45.71932274894066,2.25571630046353
Constrained SAC,0,301721597,1,4,a1c0ffecd0d3e2a9c86b93dee00991a53dd9846d360692c6c2a8403fc9d3af7c,1fc00033e0850ecc4c500449e1c6a4f1ae14af8733d9558030ec0474400506b8,-73034.73620425083,-4580.165524938068,-4580.165229561463,4686028246.889027,4686028287.328784,2.4840432406964363,0.002505071766818534,6.158031683854561,5.622270872282971,5.622270872282971,-5.622270872282971,0.04485416482018881,0.25218226436912705,0.013737208068828688,-5713.581697146477,-5713.581480279883,0.04980720869195703,5713.834563622836,5713.834563622836,0.0,1.2728593395172925,1.2728593395172925,0.0,0.04372671569751023,0.2620415321384723,0.4008297797963605,0.0,42.2827096795965,2.6607861902401613
Constrained SAC,0,301721597,1,5,ba2084a575c64d57de12dce8b3116a90e637ebed76a84d2ed3308ea37c4ee7c5,816758b880db429a69e356925d27cdff8867e1439a618c0c05d45b28448d5caf,-74186.9329532767,-5319.651509015742,-5319.651103710006,4742702453.523049,4742702509.347659,6.771526205728139,0.0480468541821318,45.20517459066552,-0.49308621457887836,-0.49308621457887836,0.49308621457887836,0.04372671569751023,-0.021561040719252137,0.2620415321384723,-6288.261892872979,-6288.261560422694,0.16873707566543308,6288.284547954096,6288.284547954096,0.0,1.5082693744346,1.5082693744346,0.0,0.04242737840753715,0.9390941527112862,0.3870705984189076,0.0,48.33942265256303,3.077989021521083
Constrained SAC,0,301721597,1,6,2e9df016d6bd0d0ab2a1fc0071511b55f4160662cc8d7767a6ea8a9e10d7d8a8,7550fafe0d7937b65eed9249b6dff77ac02eee3e390b09eb525acbc4d4a11836,-75188.0784354896,-8274.12596168072,-8274.125630112889,4477477035.667153,4477477080.040182,10.551736163498374,0.22868106323964033,106.56546660297784,-1.755469625407694,-1.755469625407694,1.755469625407694,0.04242737840753715,-0.07447997408010973,0.9390941527112862,-8988.304983849057,-8988.304771526293,0.3987219814470946,8988.60494135631,8988.60494135631,0.0,1.5170108399363729,1.5170108399363729,0.0,0.04115945435564707,1.9941677690611237,0.3753380993453787,0.0,29.066652922030983,1.7124620143076328
Constrained SAC,0,301721597,1,7,23b1bc6d7bd6f31a6b4d81ca6257a6f3e006140179d12c7d12320099b2696da0,b937a58795707c5b596e19c4aba9bacbf396e42901139f25313182c623b1cc77,-76008.995881253,-10496.568962247837,-10496.568685901988,4291878080.8179913,4291878117.026166,14.815533815320093,0.48044833365351536,205.49467576668792,-6.337327529683373,-6.337327529683373,6.337327529683373,0.04115945435564707,-0.2608409431947884,1.9941677690611237,-10950.412558110002,-10950.412425196972,0.6917046120107483,10951.53109220979,10951.53109220979,0.0,1.6602623912867889,1.6602623912867889,0.0,0.03981518636160331,3.475621150593133,0.40521115876094094,0.0,16.334372768605245,0.7847143852630016
Constrained SAC,0,301721597,1,8,fe92fe3f412ddc1cd1e0d2ad871b31f15c932e85aa1519c7e998cf3af7bcb23b,68478a5a8a56fa61eb35e0b015dcfa19d505a5f5e502c245ecfcdfae1ba0ba72,-76668.9765892006,-12233.123913378218,-12233.123279362606,4151979110.0602856,4151979191.7669597,17.193158167795787,0.8034703357754479,268.62186723107556,4.200471526055969,4.200471526055969,-4.200471526055969,0.03981518636160331,0.16724255661652665,3.475621150593133,-12553.793375339646,-12553.792985362927,1.0217446548710465,12557.511815229238,12557.511815229238,0.0,1.1864737796779858,1.1864737796779858,0.0,0.038881514452186516,5.194836967372711,0.02028304022179842,0.0,65.2717450193871,2.3073469561851288
Constrained SAC,0,301721597,1,9,0cd85b03d0dc299b9d2c80fb6cbe23ff14a8e20596e39e935f0bd257685b173e,b8f91a516d3403573767a94d0d837b6bfbcfadda25c8bb76a38c70040e43d9b2,-77212.62670420427,-14659.12022901468,-14659.119462889923,3912941172.341587,3912941268.189167,18.97220717925852,1.237550990508242,314.51803013317846,-2.063369400946766,-2.063369400946766,2.063369400946766,0.038881514452186516,-0.08022692718311111,5.194836967372711,-14555.075563139208,-14555.075337917393,1.404072039602699,14562.289261548207,14562.289261548207,0.0,1.4021984185574528,1.4021984185574528,0.0,0.037806270020264314,7.0919576852985635,0.00153197388502643,0.0,54.472456601527384,2.310115095172868
Constrained SAC,0,301721597,1,10,c3584d180fb42eb3652658d792dcc8d70d300478b95fe94546ad708b980ba2a9,3c231f3776a85a8970a3a1c5a3639351a984525d9c7bde6753d4fb8a393f201f,-77644.77967909432,-16313.122032007124,-16313.120976609156,3761572229.73951,3761572359.198125,21.259007316950687,1.6565144615450127,384.25772614623054,-3.583940067723562,-3.583940067723562,3.583940067723562,0.037806270020264314,-0.13549540593680134,7.0919576852985635,-15943.466027431381,-15943.465705669183,1.7870608055464878,15956.004291639436,15956.004291639436,0.0,1.420908586625788,1.420908586625788,0.0,0.03674700738672973,9.217758416993632,0.0003575156746160185,0.0,88.93663709003599,2.4784161152728115
Constrained SAC,0,301721597,1,11,f7ff81a992634b844a2b2d8b07f4e1e8368aad9ee2811b03b3170c02bec2bea9,1716cca3056684d42afbd00452dc0529c6fd9b2116351b4f406de86bbc9af2c1,-77902.55578850386,-18376.19768920055,-18376.196515582527,3543387308.5664926,3543387448.288907,23.61770721724308,2.155604270082684,460.621862914511,5.622765445579992,5.622765445579992,-5.622765445579992,0.03674700738672973,0.20661980336257663,9.217758416993632,-17692.31306752201,-17692.312711000945,2.2400514306082284,17713.167940254356,17713.167940254356,0.0,1.042778447786234,1.042778447786234,0.0,0.03598856401479386,11.579429138717941,0.033915745225660834,0.0,5.617175444434861,0.264198103230727
Constrained SAC,0,301721597,1,12,f19b81f073285d0187c4f31ed9da77a73e9e54a6b84fc915b4f40c0aa250bc54,8635cc6fc4556774036384d14c4838c12986afe2bdbea1c105935238286d1945,-78143.7066552282,-20282.430063559445,-20282.429013602075,3347927328.8175955,3347927450.3213444,26.476940395533568,2.748291274164301,563.0487891250584,-0.187001558962132,-0.187001558962132,0.187001558962132,0.03598856401479386,-0.006729917575574936,11.579429138717941,-19129.0714660592,-19129.07100984113,2.7549827416239823,19160.96586357665,19160.96586357665,0.0,1.2303410940785662,1.2303410940785662,0.0,0.035113806469904314,14.227023178271299,2.710505431213761e-20,0.0,217.29536082701958,3.0677525538259194
Constrained SAC,0,301721597,1,13,840adf30b39841b8d1b6f07953b7fe45cccc01d98d09ab014a27ab8fb381e986,5736faad19558ea6cf53efd1c1b68140be229e06f7ea7451cc223f7b01ba1739,-78299.67714355786,-22947.832804800713,-22947.831029975085,3063826671.7020016,3063826868.181748,29.843192475733527,3.4783290306146406,695.1060244797661,3.775550935598254,3.775550935598254,-3.775550935598254,0.035113806469904314,0.13257396486986325,14.227023178271299,-21426.38486342471,-21426.383914879665,3.418129726540908,21475.14724823542,21475.14724823542,0.0,1.0612954551068834,1.0612954551068834,0.0,0.034376338408544496,17.211242425844652,6.776263578034403e-21,0.0,3.2316895273794444,0.20230574287922987
Constrained SAC,0,301721597,1,14,4be91381483b45b1779de728d7da6cc4879519c461ec8dff501e98020b825926,e5662219e8f8df3f7051dc225dc9c67f900d0d31290f58b6e5d7960ec00421dc,-78273.47968982345,-26140.332046555668,-26140.33030338333,2717865083.194757,2717865264.9488816,32.15967550495453,4.38374797448932,771.502150177655,3.14519194674455,3.14519194674455,-3.14519194674455,0.034376338408544496,0.1081201827211195,17.211242425844652,-24302.222375727288,-24302.22120903155,4.241225684163468,24375.327259342866,24375.327259342866,0.0,1.0606753231693933,1.0606753231693933,0.0,0.033654776222725606,20.427109976340105,3.3881317890172014e-21,0.0,2.1152505254599947,0.20587160789977757
Constrained SAC,0,301721597,1,15,c9fd67b285b8cd2789954c164b46eb850e7aaaadb0d935b6e5fd12d0d5fd5b12,aa1812d3f30f8a76f52628e58dfa7444f0f0a2a06738c8242250ab7861c8997b,-78211.72413596677,-28022.473505280468,-28022.471215924175,2518960878.869845,2518961108.6720037,33.6197843945964,5.175758917968443,809.0625853150602,-3.6533137275065566,-3.6533137275065566,3.6533137275065566,0.033654776222725606,-0.12295145597064472,20.427109976340105,-25728.241979458424,-25728.240649150033,4.867789448390198,25827.553898406386,25827.553898406386,0.0,1.2672138475433152,1.2672138475433152,0.0,0.0328125382916837,23.788988415799746,3.3881317890172014e-21,0.0,1.7555167046585882,0.19599625748217803
Constrained SAC,0,301721597,1,16,59c001fdf2604ac28712e992dc9eb846d2a7faa0061e2dd6e2cc2fec232af0bb,2fe0521199fdf8b13c46292988d2e91aed97890f76a02b52412ccf10f1f0093c,-78022.971967741,-29011.391216866454,-29011.38918520686,2402135047.6994967,2402135246.849197,35.11827558487968,5.70666419927979,865.0428842975493,-1.1474875605728958,-1.1474875605728958,1.1474875605728958,0.0328125382916837,-0.037651979520528865,23.788988415799746,-27036.130111971004,-27036.12891203536,5.466075987025873,27166.124878326722,27166.124878326722,0.0,1.1532782814377747,1.1532782814377747,0.0,0.03206436028097265,27.300715974287716,1.3969625239726516e-20,0.0,1.5294174281162425,0.18058426902776767
Constrained SAC,0,301721597,1,17,e5075253bf2cd51b128f27d504a915631a85730d55c8b68351ee13488d026d6d,429ec85d5062de9a177873de61d08a13521ceec3aed828f721875a8f2ccccb94,-77828.62223025857,-30153.063224699352,-30153.061111610972,2272958926.4925585,2272959127.9779024,35.6344725509602,6.3084667585807175,860.0146157346747,2.0066654444966563,2.0066654444966563,-2.0066654444966563,0.03206436028097265,0.0643424437757189,27.300715974287716,-28034.52304173523,-28034.521798728263,6.002145273569594,28198.45024752914,28198.45024752914,0.0,1.0258458057773512,1.0258458057773512,0.0,0.03141320122032492,30.864063229383735,3.788046498485219e-21,0.0,1.1334495999417227,0.1914844173643585
