policy,path_id,training_seed,right_censored,clearance_weeks_observed,restricted_clearance_time_contribution,ending_outstanding_mass,terminal_correction,decision_clearance_terminal_residual,exit_channel_residual,clearance_observation_valid,restricted_clearance_time_residual,terminal_once_valid,status
Model-guided constrained SAC,test_007_925513ee8ec6,1600960620.0,False,79,79,5.200269481503352e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Passive,test_008_fabe46a0ea00,,False,78,78,7.583923092454196e-07,0.0,0.0,0.0,True,0,True,PASS
Reactive,test_008_fabe46a0ea00,,False,79,79,5.405207578626676e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Projected stochastic MPC,test_008_fabe46a0ea00,,False,79,79,5.409011688661582e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Behaviour cloning,test_008_fabe46a0ea00,1409200687.0,False,79,79,5.490892648584113e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Behaviour cloning,test_008_fabe46a0ea00,3018804584.0,False,79,79,5.508820523868086e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Behaviour cloning,test_008_fabe46a0ea00,959653586.0,False,79,79,5.503732233557608e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
PPO,test_008_fabe46a0ea00,1694234878.0,False,79,79,5.211293941610667e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_008_fabe46a0ea00,1635820214.0,False,79,79,5.481489817992423e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
PPO,test_008_fabe46a0ea00,456241246.0,False,79,79,5.366414482797292e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Vanilla SAC,test_008_fabe46a0ea00,3760190062.0,False,78,78,7.584036565602498e-07,0.0,2.9103830456733704e-11,3.637978807091713e-12,True,0,True,PASS
Vanilla SAC,test_008_fabe46a0ea00,3890281123.0,False,78,78,7.584014609940262e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_008_fabe46a0ea00,4226533458.0,False,78,78,7.584105117868209e-07,0.0,5.820766091346741e-11,0.0,True,0,True,PASS
Constrained SAC,test_008_fabe46a0ea00,301721597.0,False,78,78,7.584316881343315e-07,0.0,0.0,0.0,True,0,True,PASS
Constrained SAC,test_008_fabe46a0ea00,554911178.0,False,78,78,7.584417387597749e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Constrained SAC,test_008_fabe46a0ea00,1600960620.0,False,78,78,7.584344524023248e-07,0.0,5.820766091346741e-11,0.0,True,0,True,PASS
Model-guided constrained SAC,test_008_fabe46a0ea00,301721597.0,False,79,79,5.494806691338203e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_008_fabe46a0ea00,554911178.0,False,79,79,5.511895351037603e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_008_fabe46a0ea00,1600960620.0,False,79,79,5.506819602965197e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Passive,test_009_c8ef87e47101,,False,78,78,8.300955547251829e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Reactive,test_009_c8ef87e47101,,False,79,79,6.482552457467098e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Projected stochastic MPC,test_009_c8ef87e47101,,False,79,79,6.534125600318507e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_009_c8ef87e47101,1409200687.0,False,79,79,6.656374258743621e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Behaviour cloning,test_009_c8ef87e47101,3018804584.0,False,79,79,6.680721921279286e-07,0.0,0.0,0.0,True,0,True,PASS
Behaviour cloning,test_009_c8ef87e47101,959653586.0,False,79,79,6.671761396121807e-07,0.0,1.4551915228366852e-11,9.094947017729282e-13,True,0,True,PASS
PPO,test_009_c8ef87e47101,1694234878.0,False,79,79,6.166669900435672e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_009_c8ef87e47101,1635820214.0,False,79,79,6.643700436493231e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
PPO,test_009_c8ef87e47101,456241246.0,False,79,79,6.432989515935739e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Vanilla SAC,test_009_c8ef87e47101,3760190062.0,False,78,78,8.300234615137184e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_009_c8ef87e47101,3890281123.0,False,78,78,8.300360424311413e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_009_c8ef87e47101,4226533458.0,False,78,78,8.300382059049214e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_009_c8ef87e47101,301721597.0,False,78,78,8.300190690009054e-07,0.0,8.731149137020111e-11,0.0,True,0,True,PASS
Constrained SAC,test_009_c8ef87e47101,554911178.0,False,78,78,8.300721443469312e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Constrained SAC,test_009_c8ef87e47101,1600960620.0,False,78,78,8.300550324566572e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Model-guided constrained SAC,test_009_c8ef87e47101,301721597.0,False,79,79,6.662667805010783e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_009_c8ef87e47101,554911178.0,False,79,79,6.686098632035378e-07,0.0,0.0,0.0,True,0,True,PASS
Model-guided constrained SAC,test_009_c8ef87e47101,1600960620.0,False,79,79,6.676614537454792e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
