chi,parameter,objective,analytic_gradient,finite_difference_gradient,relative_error,tolerance,passed
0.625,log_standard_deviation[21],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.625,log_standard_deviation[22],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.625,log_standard_deviation[23],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.625,log_standard_deviation[24],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.625,log_standard_deviation[25],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.625,log_standard_deviation[26],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.625,log_standard_deviation[27],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.625,log_standard_deviation[28],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.625,log_standard_deviation[29],0.6922993792403169,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True
0.625,log_standard_deviation[30],0.6922993792403169,-0.050883644289323,-0.0508836442982926,8.969609777143006e-12,0.0001,True
0.625,log_standard_deviation[31],0.6922993792403169,-0.0527714498255411,-0.0527714498274772,1.9361109937499066e-12,0.0001,True
