chi,policy,seed_index,training_seed,checkpoint_path,checkpoint_sha256,selected_episode,best_validation_operational_loss,stopped_reason,final_constraint_dual,selected_entropy_temperature,selected_mean_log_standard_deviation,teacher_action_hash,generated_for_5_3_1,loaded_from_5_2_checkpoint
0.375,Model-guided constrained SAC,0,1044336490,experiments/5.3-1/checkpoints/chi_0p375/model_guided_constrained_sac_seed_0.json,b4a8b458837a2037d4784d32043c174fb2aea83583f54e35334d9f0a447e5d89,3,42024.58259998838,selector_has_no_additional_training,174.59406207519768,0.0167607110748303,-1.48878238281097,bfd190d6d3860a90ce0f709a0e4e68522587a27df71e1d037d4b7da900e079b1,True,False
0.375,Behaviour cloning,1,60714114,experiments/5.3-1/checkpoints/chi_0p375/behaviour_cloning_seed_1.npz,de6410470f7a6452b20d86feb29c0d56c4ba4d931eff3551b7aae304a3034a75,12,44720.07638698282,maximum_computational_cap,0.0,,-1.5,bfd190d6d3860a90ce0f709a0e4e68522587a27df71e1d037d4b7da900e079b1,True,False
0.375,Constrained SAC,1,2857687458,experiments/5.3-1/checkpoints/chi_0p375/constrained_sac_seed_1.npz,b5a1ff73212b0ce3e37a6d7d460870414c76fb36594dfb2129872dd04e814c7e,3,142905.84366060718,validation_patience,174.65753492404642,0.0168686161341871,-1.4897816107075723,not_applicable,True,False
0.375,Model-guided constrained SAC,1,2857687458,experiments/5.3-1/checkpoints/chi_0p375/model_guided_constrained_sac_seed_1.json,f2ca490b63a1a489fff4727a5310123b472cbb5f29b2b27e7f10fb2039b5c7e2,3,44887.60980513065,selector_has_no_additional_training,174.65753492404642,0.0168686161341871,-1.4897816107075723,bfd190d6d3860a90ce0f709a0e4e68522587a27df71e1d037d4b7da900e079b1,True,False
0.375,Behaviour cloning,2,1484239003,experiments/5.3-1/checkpoints/chi_0p375/behaviour_cloning_seed_2.npz,19c8e5fc861e499d3c8d7cd91c2fc6f3ee5fa2dd6f8d848c5329ceb8b9b6e980,12,40398.25001417604,maximum_computational_cap,0.0,,-1.5,bfd190d6d3860a90ce0f709a0e4e68522587a27df71e1d037d4b7da900e079b1,True,False
0.375,Constrained SAC,2,3413089447,experiments/5.3-1/checkpoints/chi_0p375/constrained_sac_seed_2.npz,a1288767f9418772dfea86c1f2a04925d1daa6a0e33adf41909a21bddf2318ab,3,142853.0815034772,validation_patience,174.65107781536213,0.0165184454709257,-1.4764161517248002,not_applicable,True,False
0.375,Model-guided constrained SAC,2,3413089447,experiments/5.3-1/checkpoints/chi_0p375/model_guided_constrained_sac_seed_2.json,747ab0c17b117c2349a44836dd644dbf25ba2beec6b33df09c56dba07b310297,3,40299.971621567885,selector_has_no_additional_training,174.65107781536213,0.0165184454709257,-1.4764161517248002,bfd190d6d3860a90ce0f709a0e4e68522587a27df71e1d037d4b7da900e079b1,True,False
0.5,Behaviour cloning,0,4237354934,experiments/5.3-1/checkpoints/chi_0p500/behaviour_cloning_seed_0.npz,604acf1224c283b5f1d5cbcade0e41e2b26bc402ba1b9f7fb20723a925137132,12,32904.35296184362,maximum_computational_cap,0.0,,-1.5,3a95d41e2e5ff43167fa6428a77ee2ad4c7832f090bfab975b3f95cf58b30ee7,True,False
0.5,Constrained SAC,0,1044336490,experiments/5.3-1/checkpoints/chi_0p500/constrained_sac_seed_0.npz,f28b02835193dc493e7afef99ba29449aa63fdd6c519658fd889250ef2841bd9,3,125293.5252287155,validation_patience,242.52635298047608,0.0167549783994141,-1.4880776272755003,not_applicable,True,False
0.5,Model-guided constrained SAC,0,1044336490,experiments/5.3-1/checkpoints/chi_0p500/model_guided_constrained_sac_seed_0.json,0b249b87502d515f1db3a5a71f291c93377f8d3c290a65cd73dfd7df6b134050,3,32842.97540714464,selector_has_no_additional_training,242.52635298047608,0.0167549783994141,-1.4880776272755003,3a95d41e2e5ff43167fa6428a77ee2ad4c7832f090bfab975b3f95cf58b30ee7,True,False
