chi,policy,mean_total_operational_objective,mean_loss_queue,mean_loss_waiting,mean_loss_exit,mean_loss_overflow,mean_loss_route_resource,mean_loss_action,mean_terminal_correction,mean_direct_sue_exit,mean_duration_attrition,mean_waiting_exposure,mean_committed_delivery,mean_adaptive_delivery,mean_committed_delivery_share,mean_terminal_committed_outstanding,mean_terminal_committed_outstanding_share,mean_ending_outstanding_mass
0.25,Behaviour cloning,165228.44394547146,6107.048451818745,149449.93041927106,5980.449885942026,1318.5150026647668,1216.9479677135673,1155.552218061293,0.0,0.0006153056288310818,284.78271259637245,11871.192798193999,425.1469240053953,990.6574432953753,1.0,1.904596320306533e-14,4.4836587519515805e-17,8.188093819795353e-07
0.25,Model-guided constrained SAC,165657.84306353022,6149.922398001306,149965.61121021595,5996.79441282244,1351.447720670846,1224.9703783045502,969.0969435151408,0.0,0.000636427295683005,285.5610022785348,11922.671853445458,425.1469240053953,989.8791324909379,1.0,2.0148489630146858e-14,4.737489879904104e-17,8.194175921252263e-07
0.25,Passive,328456.3535828408,4491.612172092041,309217.5598484962,13221.155617398757,794.0672798645016,731.9586649893307,0.0,0.0,0.00014983506174961732,629.5786890886886,18372.56824094937,425.1469240053953,645.8619323626067,1.0,1.743482449636816e-14,4.100076553227754e-17,7.29828934680667e-07
0.25,Projected stochastic MPC,134595.96274280827,6971.476040807655,119388.07008064455,4830.111586067219,1839.124806466361,1390.7973041065743,176.3829247159091,0.0,0.0008928804147063432,230.00442074183383,9563.189365325527,425.1469240053953,1045.435457578574,1.0,2.030694460790448e-14,4.7717401551700495e-17,8.153635830497291e-07
0.25,Reactive,119434.10740406212,6220.147646887614,105816.12310934313,4254.773306621954,1274.1588148444055,1307.555395400587,561.3491309644398,0.0,0.0004806750512651591,202.60777202123228,8823.109091430591,425.1469240053953,1072.8325185188462,1.0,1.9021889861729708e-14,4.4815052987763986e-17,8.010560064588538e-07
0.375,Behaviour cloning,138884.15768534594,7152.092550396636,122281.96796482104,4888.18081195035,2149.3200797980912,1271.1408321895276,1141.4554461902703,0.0,0.0005582782410229102,232.76995657653754,9810.621285917985,637.720386008093,830.0967944441537,1.0,3.089438434241436e-14,4.829245297612877e-17,7.145559602704663e-07
0.375,Model-guided constrained SAC,139326.8539030083,7183.565249051575,122840.53112811399,4905.981681642616,2179.6560029112757,1280.175728378971,936.9441129099043,0.0,0.0005779266771212072,233.61759738963795,9864.926449206503,637.7203860080929,829.249133982183,1.0,3.3450483218969536e-14,5.226046755078748e-17,7.14990114983283e-07
0.375,Passive,309152.5783859444,5389.034264206242,289137.29659668286,12362.58688407893,1504.2478475548871,759.4127934215091,0.0,0.0,0.00010266159027282114,588.6945108659778,17179.472975064404,637.720386008093,474.1726957503879,1.0,3.361384891036361e-14,5.2704514817286785e-17,7.355323569300127e-07
0.375,Projected stochastic MPC,122204.0211334831,7978.651876150721,105773.33656467783,4276.164614127559,2722.94391687525,1392.3747994358353,60.5493622159091,0.0,0.0007454344056058728,203.626140952621,8413.138820967515,637.720386008093,859.2404229296794,1.0,3.5699819053839103e-14,5.606428208260207e-17,6.967822050269096e-07
0.375,Reactive,110816.91111338184,6922.356662090201,96254.33188757123,3869.643904468254,1894.9262291203688,1297.5199532598044,578.132476871976,0.0,0.00040741357220433185,184.2683499420589,7927.476931690983,637.720386008093,878.5985519692854,1.0,2.97773397021586e-14,4.654137026408437e-17,6.885718991809197e-07
