metric,source_column,chi,policy,reference_policy,physical_paths,mean_paired_difference,standard_error,paired_lower,paired_upper,unadjusted_p_value,simultaneous_lower,simultaneous_upper,holm_adjusted_p_value,multiplicity_family_size,seed_aggregated_within_path_first,inference_unit
total_operational_loss,total_operational_objective,0.5,Behaviour cloning,Reactive,88,15867.54118471702,72.1973769821299,15724.04108031833,16011.04128911571,3.2616055326496014e-121,15629.0639959873,16106.01837344674,9.479247845809048e-120,36,True,physical_path
total_operational_loss,total_operational_objective,0.5,Model-guided constrained SAC,Reactive,88,16329.403473351447,75.26171598389465,16179.812663375254,16478.99428332764,9.978386708911238e-121,16080.804380184167,16578.002566518728,2.793948278495147e-119,36,True,physical_path
total_operational_loss,total_operational_objective,0.625,Passive,Reactive,88,170324.56203137894,1108.0249542854415,168122.24245603385,172526.88160672403,9.684071962401666e-108,166664.61360685693,173984.51045590095,2.0336551121043498e-106,36,True,physical_path
total_operational_loss,total_operational_objective,0.625,Projected stochastic MPC,Reactive,88,6989.758374056813,98.66111951378599,6793.658715840364,7185.858032273263,1.0034789004438167e-78,6663.868052246395,7315.648695867232,1.1038267904881984e-77,36,True,physical_path
total_operational_loss,total_operational_objective,0.625,Behaviour cloning,Reactive,88,8545.609701618565,69.6878215137511,8407.097610451932,8684.121792785198,3.0567713999454224e-99,8315.42189621656,8775.79750702057,5.807865659896302e-98,36,True,physical_path
total_operational_loss,total_operational_objective,0.625,Model-guided constrained SAC,Reactive,88,8966.869433014492,70.96524627452496,8825.818321814239,9107.920544214745,2.289454889348827e-100,8732.46212991746,9201.276736111524,4.5789097786976545e-99,36,True,physical_path
total_operational_loss,total_operational_objective,0.75,Passive,Reactive,88,134475.00616311698,747.979338236838,132988.31623597993,135961.69609025403,1.2200779319222954e-113,132004.33455056258,136945.6777756714,3.0501948298057385e-112,36,True,physical_path
total_operational_loss,total_operational_objective,0.75,Projected stochastic MPC,Reactive,88,4319.470744920483,73.41741222719855,4173.545688364865,4465.395801476102,7.557848432215663e-72,4076.9636234209474,4561.977866420019,6.04627874577253e-71,36,True,physical_path
total_operational_loss,total_operational_objective,0.75,Behaviour cloning,Reactive,88,4183.357279843577,60.19947985539176,4063.704295135646,4303.010264551508,5.228581266743025e-78,3984.5106829310803,4382.203876756073,5.228581266743025e-77,36,True,physical_path
total_operational_loss,total_operational_objective,0.75,Model-guided constrained SAC,Reactive,88,4476.730409737226,56.20248778333169,4365.021879573168,4588.438939901284,4.372717430578935e-83,4291.086389878959,4662.374429595493,6.121804402810508e-82,36,True,physical_path
total_operational_loss,total_operational_objective,0.875,Passive,Reactive,88,71780.86481648084,389.0449086756033,71007.59593408715,72554.13369887453,1.286956366218828e-114,70495.79962452059,73065.9300084411,3.346086552168953e-113,36,True,physical_path
total_operational_loss,total_operational_objective,0.875,Projected stochastic MPC,Reactive,88,2508.8200171947924,64.4299003102379,2380.7586137562052,2636.8814206333795,7.844729640634602e-57,2295.9997993643765,2721.6402350252083,3.1378918562538407e-56,36,True,physical_path
total_operational_loss,total_operational_objective,0.875,Behaviour cloning,Reactive,88,1743.1451564112226,50.51982213733159,1642.7315395466555,1843.5587732757897,1.5406678174706209e-52,1576.271709451809,1910.0186033706361,4.6220034524118624e-52,36,True,physical_path
total_operational_loss,total_operational_objective,0.875,Model-guided constrained SAC,Reactive,88,1935.3487950511771,47.03340319560613,1841.8648133482725,2028.8327767540818,8.22931756230224e-59,1779.991436663271,2090.706153439083,4.11465878115112e-58,36,True,physical_path
total_operational_loss,total_operational_objective,1.0,Passive,Reactive,88,6138.535813981371,76.95934976653271,5985.570773039701,6291.500854923041,3.885260134474357e-83,5884.32921886736,6392.742409095381,5.827890201711536e-82,36,True,physical_path
total_operational_loss,total_operational_objective,1.0,Projected stochastic MPC,Reactive,88,1728.1585735603082,69.05670904863362,1590.9008867559571,1865.4162603646594,1.626597867730805e-41,1500.055413511703,1956.2617336089136,1.626597867730805e-41,36,True,physical_path
total_operational_loss,total_operational_objective,1.0,Behaviour cloning,Reactive,88,4593.753526484123,58.97952178147629,4476.525340547098,4710.981712421148,2.9953951908194203e-82,4398.936607435235,4788.570445533011,3.8940137480652463e-81,36,True,physical_path
total_operational_loss,total_operational_objective,1.0,Model-guided constrained SAC,Reactive,88,5792.714564437606,67.34010731842926,5658.8688094484,5926.560319426812,5.8987221907788126e-86,5570.281559897407,6015.147568977805,9.4379555052461e-85,36,True,physical_path
queue_loss,loss_queue,0.0,Reactive,Passive,88,11606.72456700346,154.73356249140613,11299.174856755762,11914.27427725116,7.5425108922893025e-81,11095.619779994118,12117.829354012803,6.034008713831442e-80,36,True,physical_path
queue_loss,loss_queue,0.0,Projected stochastic MPC,Passive,88,2299.699830981947,10.464667884144621,2278.900170431342,2320.499491532552,3.2894503686272025e-121,2265.1336918461902,2334.2659701177035,7.236790810979845e-120,36,True,physical_path
queue_loss,loss_queue,0.0,Behaviour cloning,Passive,88,1391.4521006212033,11.682089370222727,1368.232683042685,1414.6715181997215,3.787633586785691e-98,1352.864662296545,1430.0395389458615,4.16639694546426e-97,36,True,physical_path
queue_loss,loss_queue,0.0,Model-guided constrained SAC,Passive,88,1424.8656474970041,12.158496871187966,1400.6993184241562,1449.031976569852,1.542701546728277e-97,1384.7045741419754,1465.026720852033,1.542701546728277e-96,36,True,physical_path
queue_loss,loss_queue,0.125,Reactive,Passive,88,1928.2066185002686,6.391139436602104,1915.5035368272877,1940.9097001732496,3.623476700370999e-133,1907.0958658755887,1949.3173711249485,1.0870430101112997e-131,36,True,physical_path
queue_loss,loss_queue,0.125,Projected stochastic MPC,Passive,88,2360.0096450378082,11.082442102998858,2337.982091333656,2382.0371987419603,5.058303052111006e-120,2323.4029184854403,2396.616371590176,1.0622436409433114e-118,36,True,physical_path
queue_loss,loss_queue,0.125,Behaviour cloning,Passive,88,1468.2665965918152,12.198150954650922,1444.0214507342773,1492.511742449353,1.526648606904902e-98,1427.9745407171827,1508.5586524664477,1.8319783282858823e-97,36,True,physical_path
queue_loss,loss_queue,0.125,Model-guided constrained SAC,Passive,88,1514.8112746462416,12.091200381912317,1490.7787046327996,1538.8438446596836,4.790859425246199e-100,1474.8724902197678,1554.7500590727154,6.228117252820059e-99,36,True,physical_path
