chi,policy,seed_index,training_seed,episode,training_loss,mean_formal_reward,mean_constraint_violation,constraint_dual,update_method,critic_loss_q1,critic_loss_q2,constraint_critic_loss,latent_policy_entropy,mean_log_standard_deviation,entropy_temperature,entropy_temperature_loss,target_entropy,period_update_count,reward_critic_q1_update_count,reward_critic_q2_update_count,constraint_critic_update_count,actor_update_count,entropy_temperature_update_count,constraint_dual_update_count,mean_projection_distance,projected_action_fraction
0.0,Behaviour cloning,2,1484239003,1,0.0317983060045315,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,2,1484239003,2,0.0315276625454441,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,2,1484239003,3,0.0312515297365934,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,2,1484239003,4,0.0309696027631402,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,2,1484239003,5,0.0306815870209489,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,2,1484239003,6,0.0303872027599238,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,2,1484239003,7,0.0300861904825053,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,2,1484239003,8,0.0297783171266718,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,2,1484239003,9,0.0294633830363455,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,2,1484239003,10,0.0291412296857573,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,2,1484239003,11,0.0288117480770044,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,2,1484239003,12,0.0284748876712941,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Constrained SAC,2,3413089447,1,19663.401176783835,-137992.33806232834,1.918963926026923,4.028124244656538,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,7849198179.961559,7849198280.940358,4.99715769223287,-2.984428107799979,-1.489171762184463,0.0301290363641978,1.2060324652369518,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.1477853677717569,0.4285714285714285
0.0,Constrained SAC,2,3413089447,2,48571.20097499656,-201699.9360109872,0.0387080649079719,4.107311180963282,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,13415180760.109713,13415180816.95535,0.095012346975264,-2.30853731387721,-1.4818141865580643,0.0214540736557742,0.8085114968187522,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0489835120029296,1.0
0.0,Constrained SAC,2,3413089447,3,110810.8168451224,-336477.93456117593,1.2163798219515538,6.659608807061545,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,27575890856.98532,27575890921.138283,2.5054536472233293,-1.0739648640857975,-1.4763843718083631,0.0165214029302945,0.6220425088961207,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0460670466036972,0.8095238095238095
