base_path_id,baseline_loss,regime_loss,regime_action_loss,information_regime,false_warning_cost,interpretation
test_008_fabe46a0ea00,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_009_c8ef87e47101,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_010_613ab99db82c,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_011_8a2e74b38d5d,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_012_b6bdc05b20a7,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_013_040653995d85,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_014_f00647451070,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_015_643a837775f9,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_016_45a90ccef8bd,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_017_ebd333a3cdba,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_018_9466cee538c9,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_019_9d2b7462a57a,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_020_701c8d28bc45,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_021_69299bc5d0bf,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_022_1b3e72c80b5f,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_023_90a8af416c5a,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_024_e90f261f99e2,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_025_0c3eeaae0824,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_026_770d47ae1768,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_027_df5d670513fa,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_028_e9fb02365dd3,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_029_b44f60718c5a,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_030_038f4c53d11f,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_031_0a6ff70351b5,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_032_efdf826e6bc3,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_033_de0c441dba67,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_034_a00d80b83640,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_035_51fd398978b7,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_036_7eb6ac1ca077,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_037_f096257ecaa4,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
test_038_b05abc6e01b3,17.06685282076053,24.13856208322998,24.13856208322998,IL,7.071709262469451,positive means information increased loss without a physical disruption
