warning_scenario,base_path_id,base_physical_path_sha256,total_blocked,peak_blocked,mean_serviceability,minimum_serviceability,recovery_rate,weeks
GH,test_027_df5d670513fa,81fd0061cbc1e7018bd5b9eb1239ce1515bc6cbada40b12f82000eb260b5e055,1702.7551810040777,104.23768902085682,0.3363881002131817,0.0,0.02025736577638541,29
GH,test_028_e9fb02365dd3,5d802ed0aa2ed1e79c8a0eb81c45c7d2acaad5c313db1e25b12244cb5da1a3f1,1623.1564849967476,111.78864941516493,0.34417352204110674,0.0,0.02262858924680422,29
GH,test_029_b44f60718c5a,864fc5477a80617dcd1dfd105218334b6714ff3283b58095987765279672cc93,1650.0534878496655,112.42347129925922,0.33882701996210735,0.0,0.0187578639793163,29
GH,test_030_038f4c53d11f,c289c0180e19d4efe38d6fb3cf749dc58fb2fc82a28248babf37eba4d050247c,1668.1643630717354,97.6679053227609,0.3420363759221257,0.0,0.016611805392953368,29
GH,test_031_0a6ff70351b5,66453c50834fa3dcd176a36c69c2cd344e4023d8d34a02e0efe688cf2781c3f9,1652.098643848903,111.6864559772024,0.3399053776093784,0.0,0.02026693237239009,29
GH,test_032_efdf826e6bc3,f68d8f9fe8ed71a08598d0d2dbfcc8624aee20f294eb03c5d0d1b47b192231a8,1739.5566208253824,105.41206555273722,0.3349731571681389,0.0,0.018226420006940112,29
GH,test_033_de0c441dba67,7ec9546050ec128248d8d481b870b6380d6ca6d723d82627518325ffbdc72f3a,1727.6821154352788,115.83869229171734,0.33727094467820373,0.0,0.01764421771908711,29
GH,test_034_a00d80b83640,0f4bc5cfced121212348bbd1013ec4964294f487da2bfeef2082f3134c966878,1714.782126812562,106.4473097425005,0.339417800797397,0.0,0.018393111947156142,29
GH,test_035_51fd398978b7,b6fa16487d60759605dd86ad9e174dcae5c07eba9b0e4a208e41547329603d50,1637.498249427388,109.24044866821211,0.34218765572542975,0.0,0.01935667091740369,29
GH,test_036_7eb6ac1ca077,835e8a13ce793ee0d4c8d1922e6d12f857b647d3db30f415b92ebcca10cb9554,1686.3444665977177,97.53851921674767,0.33649832229494253,0.0,0.01683273474427756,29
GH,test_037_f096257ecaa4,0504d3553dd1b04e2daf266d9385ecec583ac5ee5143240ec48390c3637711cc,1866.3060637345652,112.3813005491062,0.33930904304738463,0.0,0.019970090514804677,29
GH,test_038_b05abc6e01b3,d70904feaac93846beafd0d4f452a87f57385097244d4e0d5b2934e20eff821f,1728.0776259476029,107.00120724069492,0.34885771579566377,0.0,0.019670873304872404,29
GH,test_039_9c0d1ebe6c19,a764716cc7f8aeab39c2c2f073ba3bf25b0853e49b15690e7a526a3355477947,1695.6044580463654,113.85464656049392,0.34291416981509465,0.0,0.020999164172380343,29
GH,test_040_11a8950c659e,ce3f9b7a7902becf4bdfbdd9494b3f00f7d8b741e45d94aec742b61d96ed6b99,1638.274965498257,120.3301955243697,0.3481004665027505,0.0,0.018059082285854313,29
GH,test_041_e58f21dcc209,20e0bcb4b669443da2e153571c054142078f1a87cfd8564b8fb31b4d19884070,1722.2036863070757,110.55985327551471,0.3339831578753248,0.0,0.017134450706552656,29
GH,test_042_a77d2ece213a,50867af1413e5b1f4a57b100697daff06a7a7ddbbedf8273b0f515bdaa98e6d9,1598.7356934770337,100.92115565754176,0.34564097314577585,0.0,0.02068507524780666,29
GH,test_043_f1174106175c,e1c05921a15b70c43f0abce37906cec0d00142a1459fb9059ceffadf5f4c1ace,1789.4790178034134,110.63938845675801,0.3360709634004556,0.0,0.020709823240554297,29
GH,test_044_ed401c94714a,cdd3e3788096b9dacb2df0d0b62a1cb28d51b122523dcf031887b030038a9f0b,1666.8620327976778,120.78804375266085,0.33870383243957947,0.0,0.018240016267084224,29
GH,test_045_af7d3f616c1d,0760d304a5c54d302e032eaa6ef8974da5965cac272efb3a66af257287e72ea4,1729.8693849615547,118.83996428368833,0.33663856536850584,0.0,0.016603377095334337,29
GH,test_046_e35b743e6617,c0048e37b8520d7bfa898229e339686779b407fa7d2b062c359012d56267e7ec,1720.351387926483,105.1217678728909,0.3367822373783499,0.0,0.01646318671154209,29
GH,test_047_20c1f89391c1,f2130b5fd299cb2fd05ecda0fd2c152640207395401d37a5f1e7253bbd0a35d8,1734.4783535571994,111.00367856568816,0.3370089354343441,0.0,0.01623717289208456,29
GH,test_048_eeaf6a6a0a15,ebcee93a99cde79ceee231d38070645a6f701ecc4eb97b1e8abf3b74f65be4df,1693.8488094307506,118.68830707321018,0.34862158917935065,0.0,0.020139264758425174,29
GH,test_049_343da3774e7e,c214ac02e921d1ab893b808c39160612ee2c6e853c942be7eb6c6df35facccd4,1629.9805072659244,105.58318445524118,0.33542184167642397,0.0,0.020935976081644863,29
GH,test_050_1c7612d8bc63,ca36b4544ddd266e5e7dac2cbd5076e4b80860d23b0cfeba892432607eb1c108,1601.3167374734342,102.81514989008562,0.34001230587877507,0.0,0.016073940465173867,29
GH,test_051_5747c87e6d9a,e6daf165b6654b82650b4110a9d37185e59752e103161fa9379474087ef82a6e,1574.8595721117642,112.79360640532775,0.35205037467853584,0.0,0.02238244675675932,29
