controller_id,information_regime,capacity_rights,path_id,period_offset,candidate_id,nested_formal_objective,teacher_hash
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,0,zero,189.51887500000004,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,1,zero,189.51887500000004,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,2,zero,189.51887500000004,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,3,zero,189.51887500000004,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,4,release_full,5906.444825638614,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,5,release_full,4383.15950316837,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,6,release_full,5996.968276613069,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,7,release_full,6077.802493623652,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,8,release_full,5879.800747415586,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,9,release_full,5618.594015841041,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,10,release_full,6564.076999590902,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,11,release_full,6030.406397778767,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,12,release_full,6830.13936532861,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,13,release_full,6741.501160321581,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,14,release_full,6280.754075518472,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,15,release_full,6695.06640285942,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,16,release_full,6668.174487856137,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,17,release_full,6985.2398365482895,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,18,release_full,8278.207143478552,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,19,release_full,5450.345130321968,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_001_8a16fe9edafd__IF,20,release_full,3697.5088560261393,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,0,zero,379.0377500000001,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,1,zero,379.0377500000001,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,2,zero,379.0377500000001,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,3,zero,379.0377500000001,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,4,zero,379.0377500000001,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,5,zero,379.0377500000001,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,6,release_full,15546.638261742106,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,7,release_full,19727.4248797245,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,8,release_full,20729.855045972752,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,9,release_full,19620.93701520538,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,10,release_full,21488.343630782158,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,11,release_full,20716.39006620468,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,12,release_full,20501.759942067278,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,13,release_full,20458.93704568776,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,14,release_full,28689.26246807084,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,15,release_full,24507.871640672387,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,16,release_full,24585.395362507785,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,17,release_full,18576.862661822237,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,18,release_full,16360.596508889905,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,19,release_full,29673.194372912767,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_002_7ec3e8f1af07__IF,20,release_full,25240.975565676687,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IL_R,IL,R,training_000_60a9d350b650__IL,0,zero,89.50943750000002,fa74e70279e2d0ac6917309ccf2dfd94c0f12b6a73fc7e25ef6c42fc25609005
IL_R,IL,R,training_000_60a9d350b650__IL,1,zero,89.50943750000002,fa74e70279e2d0ac6917309ccf2dfd94c0f12b6a73fc7e25ef6c42fc25609005
IL_R,IL,R,training_000_60a9d350b650__IL,2,release_full,14956.041659784934,fa74e70279e2d0ac6917309ccf2dfd94c0f12b6a73fc7e25ef6c42fc25609005
IL_R,IL,R,training_000_60a9d350b650__IL,3,release_full,18795.36926983641,fa74e70279e2d0ac6917309ccf2dfd94c0f12b6a73fc7e25ef6c42fc25609005
