evidence_layer,controller_id,training_information_regime,evaluation_information_regime,capacity_rights,warning_scenario,base_path_id,base_physical_path_sha256,training_seed_count,learning_seeds_averaged_within_path_first,inference_unit,decision_periods,clearance_followup_periods,decision_operational_loss,clearance_operational_loss,terminal_correction,total_operational_objective,loss_queue,loss_waiting,loss_exit,loss_overflow,loss_route_resource,loss_action,peak_pressure,overload,waiting_model_unit_weeks,direct_sue_exit,duration_attrition,total_exit,delivered_landbridge,ending_outstanding_mass,clearance_weeks_observed,maximum_transition_residual,loss_direct_sue_exit,loss_duration_attrition,loss_component_sum_with_terminal,mean_decision_time_seconds,maximum_decision_time_seconds,bc_proposal_selected_count,sac_proposal_selected_count,fallback_count,action_dimension,restricted_clearance_time_contribution,right_censored,numerical_failure,transition_audits_passed,accepted,all_step_acceptance_passed,scenario_label_in_controller_observation,seed_clearance_probability,censored_seed_trajectories
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_030_038f4c53d11f,4eb8a7c0bcb39227046e9505c361e42bb2c658236f0c564a6269a847ed31aa9d,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.35570219885183224,0.398548899916932,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_031_0a6ff70351b5,f433009c2dc9babd801ecc4a83bff803bafefdf2dda16c2339f89fdea4819ef5,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.35361129080277237,0.38026920007541776,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_032_efdf826e6bc3,21ce1693bc3699e2f09363a75d56cade9dded2bb98e7d8c9fa223f6a0e80fe32,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.35509598620995964,0.37949423321212333,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_033_de0c441dba67,20b1ce9257b6bc10879dbeb9b585d2252b6a0d0e70758a9074e7bce30e8381e7,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.35465283451559043,0.3743355666908125,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_034_a00d80b83640,b036cb3fefcab64a46f1c815d5ca0fe171f0b46d33f7ae7b6be2a6bacb1fd612,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.3556293632123277,0.37646800007981557,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_035_51fd398978b7,7abaf72660924f39b0c3de4eca048c4bfc88cc650ecff93ab95fe73dba109cce,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.35290605286885607,0.36990463322338957,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_036_7eb6ac1ca077,0c9a87f5ff17777b85b5a6eeeaa638de53fb4b7d7f19e240d28c11f6cc64f47c,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.35447666205294515,0.3723574666461597,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_037_f096257ecaa4,3929daae8a4ddc386215a14d62f0df20cc184dc67a9d3e9dfcf391616c8b09aa,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.35416134368446284,0.37161296668152016,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_038_b05abc6e01b3,91d9ad359e88dd62f32db770d8fc971bf07ab01c0e8fc379b5a718e95e02a857,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.35397741379719444,0.37115853334156174,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_039_9c0d1ebe6c19,e13ccaea86f54a246efc2c37fdff34f1d6d2c788bedc46e779cb26330eb19767,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.35282878046213034,0.3755869999683152,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_040_11a8950c659e,8c86505470912e1666c9fc2940eaa827bdbe9a292d18acba8b65690bc5504edd,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.3452283988797759,0.36995026663256186,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_041_e58f21dcc209,8ac790e22f29b9e6016d417a41ae81357645899a955003b28c3db743adaf7651,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.341488395394736,0.3993446667833875,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_042_a77d2ece213a,f2460e8d37d7dd00974c41189f6e0ebf50b6f52ebee182f6c1995d712d434a80,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.34792991380485566,0.42687770002521574,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_043_f1174106175c,9f0e52313eae7646721460bef1d7844c63ef6e6466e00cda6d88b59f753bdb44,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.3523805770038188,0.43542503332719207,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_044_ed401c94714a,b8c9d29aa3de6cf470181459344c092f63897fea165efd006f3522d28d5b7546,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.36020352873662165,0.4383562000002712,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
