split,path_id,origin_week,target_week,route,reference_wait_forecast_weeks,realised_next_state_wait_proxy_weeks,forecast_error_weeks,absolute_error_weeks,squared_error_weeks2
validation,validation_001_83c2af15fd75,2001-08-27,2001-09-03,Sohar,4.0,4.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-09-03,2001-09-10,Fujairah,3.0,3.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-09-03,2001-09-10,Khor_Fakkan,2.0,2.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-09-03,2001-09-10,Sohar,4.0,4.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-09-10,2001-09-17,Fujairah,3.0,3.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-09-10,2001-09-17,Khor_Fakkan,2.0,2.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-09-10,2001-09-17,Sohar,4.0,4.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-09-17,2001-09-24,Fujairah,3.0,3.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-09-17,2001-09-24,Khor_Fakkan,2.0,2.40273924272342,0.40273924272342,0.40273924272342,0.1621988976294338
validation,validation_001_83c2af15fd75,2001-09-17,2001-09-24,Sohar,4.0,4.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-09-24,2001-10-01,Fujairah,3.0,4.326583293364296,1.3265832933642958,1.3265832933642958,1.7598232342332614
validation,validation_001_83c2af15fd75,2001-09-24,2001-10-01,Khor_Fakkan,2.40273924272342,2.79416889791102,0.3914296551876002,0.3914296551876002,0.1532171749602836
validation,validation_001_83c2af15fd75,2001-09-24,2001-10-01,Sohar,4.0,4.0,0.0,0.0,0.0
validation,validation_001_83c2af15fd75,2001-10-01,2001-10-08,Fujairah,4.326583293364296,5.608148281916419,1.2815649885521232,1.2815649885521232,1.6424088198826037
validation,validation_001_83c2af15fd75,2001-10-01,2001-10-08,Khor_Fakkan,2.79416889791102,2.932676437944079,0.13850754003305887,0.13850754003305887,0.019184338646009408
validation,validation_001_83c2af15fd75,2001-10-01,2001-10-08,Sohar,4.0,4.063058948693435,0.06305894869343476,0.06305894869343476,0.003976431010321237
